sample,Region,X,Y
3690131,EAST_MIDLANDS_,441000,307000
3690362,EAST_MIDLANDS_,506000,345000
3691149,EAST_MIDLANDS_,498000,364000
3781984,EAST_MIDLANDS_,483000,338000
3788104,EAST_MIDLANDS_,510000,328000
3882184,EAST_MIDLANDS_,506000,345000
3924448,EAST_MIDLANDS_,479000,266000
3927835,EAST_MIDLANDS_,456000,342000
3542932,EAST_OF_ENGLAND,553000,243000
3689924,EAST_OF_ENGLAND,545000,234000
3690031,EAST_OF_ENGLAND,587000,213000
3690232,EAST_OF_ENGLAND,628000,236000
3690238,EAST_OF_ENGLAND,603000,236000
3690788,EAST_OF_ENGLAND,532000,233000
3690936,EAST_OF_ENGLAND,623000,242000
3691739,EAST_OF_ENGLAND,627000,255000
3691755,EAST_OF_ENGLAND,582000,188000
3692063,EAST_OF_ENGLAND,580000,204000
3692161,EAST_OF_ENGLAND,595000,266000
3692252,EAST_OF_ENGLAND,501000,207000
3692450,EAST_OF_ENGLAND,518000,207000
3693106,EAST_OF_ENGLAND,547000,211000
3694307,EAST_OF_ENGLAND,597000,273000
3694849,EAST_OF_ENGLAND,620000,310000
3699099,EAST_OF_ENGLAND,622000,242000
3700185,EAST_OF_ENGLAND,527000,217000
3702967,EAST_OF_ENGLAND,599000,294000
3705251,EAST_OF_ENGLAND,518000,208000
3720511,EAST_OF_ENGLAND,546000,253000
3765787,EAST_OF_ENGLAND,532000,298000
3819915,EAST_OF_ENGLAND,518000,207000
3876044,EAST_OF_ENGLAND,589000,227000
3937442,EAST_OF_ENGLAND,590000,292000
3970181,EAST_OF_ENGLAND,524000,221000
4820128,EAST_OF_ENGLAND,594000,202000
3689981,LONDON,532000,177000
3690229,LONDON,518000,185000
3691224,LONDON,542000,174000
3699383,LONDON,533000,180000
3700539,LONDON,521000,172000
3718316,LONDON,538000,179000
3725156,LONDON,528000,196000
3800866,LONDON,514000,171000
3839235,LONDON,542000,178000
3882334,LONDON,512000,175000
3885330,LONDON,525000,188000
3936836,LONDON,526000,183000
3690597,NORTH_EAST_,405000,552000
3810771,NORTH_EAST_,405000,552000
3933582,NORTH_EAST_,439000,560000
3690234,NORTH_WEST_,352000,492000
3691420,NORTH_WEST_,355000,540000
3691712,NORTH_WEST_,348000,528000
3692738,NORTH_WEST_,332000,387000
3701075,NORTH_WEST_,345000,523000
3718802,NORTH_WEST_,343000,439000
3780024,NORTH_WEST_,382000,392000
3822283,NORTH_WEST_,384000,430000
3893734,NORTH_WEST_,340000,400000
3935503,NORTH_WEST_,333000,386000
3676492,SCOTLAND,260000,873000
3689957,SCOTLAND,320000,673000
3690538,SCOTLAND,277000,880000
3691029,SCOTLAND,353000,703000
3691196,SCOTLAND,252000,839000
3691982,SCOTLAND,357000,800000
3709128,SCOTLAND,362000,802000
3722009,SCOTLAND,350000,835000
3729386,SCOTLAND,347000,735000
3759305,SCOTLAND,178000,688000
3767207,SCOTLAND,227000,643000
3778070,SCOTLAND,275000,676000
3790231,SCOTLAND,168000,797000
3806614,SCOTLAND,249000,662000
3808285,SCOTLAND,331000,666000
3812303,SCOTLAND,266000,843000
3818730,SCOTLAND,369000,610000
4344738,SCOTLAND,235000,659000
3515471,SOUTH_EAST_,613000,149000
3519695,SOUTH_EAST_,453000,221000
3689948,SOUTH_EAST_,538000,128000
3690057,SOUTH_EAST_,465000,163000
3690387,SOUTH_EAST_,464000,109000
3690813,SOUTH_EAST_,513000,131000
3691638,SOUTH_EAST_,460000,187000
3691997,SOUTH_EAST_,567000,158000
3693195,SOUTH_EAST_,430000,93000
3694217,SOUTH_EAST_,613000,167000
3694319,SOUTH_EAST_,568000,162000
3694663,SOUTH_EAST_,499000,126000
3695630,SOUTH_EAST_,506000,168000
3695746,SOUTH_EAST_,487000,118000
3698471,SOUTH_EAST_,461000,112000
3700898,SOUTH_EAST_,476000,151000
3714048,SOUTH_EAST_,460000,187000
3717514,SOUTH_EAST_,466000,175000
3717975,SOUTH_EAST_,529000,153000
3719038,SOUTH_EAST_,472000,220000
3726437,SOUTH_EAST_,450000,210000
3758474,SOUTH_EAST_,466000,138000
3760630,SOUTH_EAST_,608000,160000
3764624,SOUTH_EAST_,467000,174000
3765053,SOUTH_EAST_,636000,143000
3789655,SOUTH_EAST_,490000,143000
3791332,SOUTH_EAST_,443000,115000
3797260,SOUTH_EAST_,448000,115000
3801463,SOUTH_EAST_,455000,105000
3810483,SOUTH_EAST_,465000,163000
3826491,SOUTH_EAST_,429000,219000
3832334,SOUTH_EAST_,475000,182000
3840667,SOUTH_EAST_,503000,159000
3875352,SOUTH_EAST_,458000,107000
3895948,SOUTH_EAST_,479000,169000
3913262,SOUTH_EAST_,459000,117000
3929122,SOUTH_EAST_,451000,224000
3933922,SOUTH_EAST_,415000,115000
3963584,SOUTH_EAST_,470000,184000
3968560,SOUTH_EAST_,442000,177000
3984329,SOUTH_EAST_,489000,113000
4052250,SOUTH_EAST_,565000,125000
4104017,SOUTH_EAST_,466000,118000
4109127,SOUTH_EAST_,540000,139000
3690177,SOUTH_WEST_,394000,173000
3690240,SOUTH_WEST_,397000,184000
3690259,SOUTH_WEST_,397000,228000
3690339,SOUTH_WEST_,223000,91000
3691194,SOUTH_WEST_,328000,138000
3691519,SOUTH_WEST_,159000,28000
3691597,SOUTH_WEST_,384000,155000
3692455,SOUTH_WEST_,360000,141000
3692750,SOUTH_WEST_,418000,236000
3694688,SOUTH_WEST_,255000,47000
3697177,SOUTH_WEST_,418000,188000
3712513,SOUTH_WEST_,347000,153000
3719590,SOUTH_WEST_,334000,145000
3760044,SOUTH_WEST_,324000,123000
3778456,SOUTH_WEST_,290000,65000
