sample,region,X,Y
3558942,Wales,314000,335000
3687617,England,573000,144000
3690159,England,460000,303000
3690490,England,519000,170000
3695951,England,349000,106000
3696952,England,485000,146000
3701093,England,371000,254000
3760518,England,384000,212000
3833294,England,462000,439000
3875619,England,591000,163000
3951155,England,489000,159000
3963541,England,470000,184000
3999077,England,323000,126000
4000041,England,250000,77000
4001184,Scotland,286000,661000
4004845,England,615000,286000
4026985,England,442000,177000
4028704,Wales,265000,315000
4033354,England,495000,196000
4085645,England,416000,93000
4188915,England,512000,250000
4240635,England,542000,174000
4293083,England,501000,167000
4295239,England,368000,227000
4395483,England,584000,254000
4547997,Scotland,215000,558000
4558939,England,338000,161000
4602551,England,521000,181000
4680371,Wales,304000,251000
4681745,England,384000,254000
4692147,England,595000,266000
4692159,England,627000,255000
4692260,England,386000,186000
4692308,England,475000,182000
4692505,England,541000,134000
4692506,England,520000,169000
4692552,England,594000,266000
4692605,England,532000,139000
4692608,England,546000,261000
4692690,England,526000,162000
4692766,England,373000,247000
4694194,England,587000,213000
4697073,England,387000,259000
4733029,England,510000,320000
4733166,England,505000,349000
4733765,England,539000,139000
4733846,England,496000,499000
4741556,England,491000,149000
4742651,England,329000,250000
4748571,England,594000,140000
4748744,England,607000,155000
4748875,Scotland,319000,732000
4750353,Scotland,375000,821000
4753627,England,572000,243000
4824915,England,557000,235000
4826241,England,446000,165000
4851098,England,472000,180000
4851275,Scotland,339000,707000
4852875,England,479000,266000
4855733,England,516000,215000
4855755,England,531000,213000
4870363,England,475000,376000
4871237,England,470000,375000
4872260,England,566000,150000
4874572,England,401000,242000
4875892,England,511000,164000
4887045,England,522000,215000
4930078,Scotland,402000,840000
4931724,England,273000,44000
4950279,England,485000,187000
4953457,England,516000,167000
4964088,England,521000,148000
4968330,England,501000,144000
4979014,England,637000,272000
5001917,England,596000,275000
5081543,England,501000,207000
5081596,England,613000,167000
5098460,England,451000,224000
5098484,England,404000,249000
5098754,England,286000,63000
5098755,England,506000,345000
5098757,England,290000,65000
5098759,England,413000,280000
5098842,England,415000,115000
5098880,England,499000,126000
5099035,England,483000,238000
5099041,England,459000,100000
5105200,England,615000,246000
5106998,England,539000,188000
5109230,England,619000,239000
5110350,Scotland,369000,610000
5114721,England,330000,281000
5161089,England,518000,211000
5231775,England,468000,106000
5235772,England,544000,195000
5235910,England,397000,228000
5238687,England,516000,150000
