code,sample,region,X,Y
HMC20,7396225,EAST_MIDLANDS,493000,359000
HMC49,7416352,EAST_MIDLANDS,475000,376000
HMC58,7396113,EAST_MIDLANDS,475000,257000
HMC77,7189434,EAST_MIDLANDS,497000,344000
HMC85,7426582,EAST_MIDLANDS,455000,299000
HMC87,7020330,EAST_MIDLANDS,508000,291000
HMC115,7405955,EAST_MIDLANDS,454000,319000
HMC146,7473122,EAST_MIDLANDS,447000,343000
HMC154,7406500,EAST_MIDLANDS,470000,343000
HMC158,7325921,EAST_MIDLANDS,479000,266000
HMC184,7609791,EAST_MIDLANDS,474000,371000
HMC240,8832301,EAST_MIDLANDS,435000,314000
HMC256,7443986,EAST_MIDLANDS,536000,360000
HMC307,7784900,EAST_MIDLANDS,470000,375000
HMC309,7819448,EAST_MIDLANDS,462000,337000
HMC316,9306248,EAST_MIDLANDS,508000,291000
HMC320,7796831,EAST_MIDLANDS,536000,344000
HMC321,7784901,EAST_MIDLANDS,469000,383000
HMC324,7415171,EAST_MIDLANDS,433000,341000
HMC345,8911639,EAST_MIDLANDS,523000,355000
HMC351,9066424,EAST_MIDLANDS,449000,298000
HMC357,9050537,EAST_MIDLANDS,454000,319000
HMC371,8609822,EAST_MIDLANDS,495000,352000
HMC374,7443951,EAST_MIDLANDS,456000,319000
HMC404,9058149,EAST_MIDLANDS,478000,379000
HMC415,9404008,EAST_MIDLANDS,522000,358000
HMC422,9417105,EAST_MIDLANDS,488000,359000
HMC424,9403246,EAST_MIDLANDS,502000,349000
HMC442,9427250,EAST_MIDLANDS,452000,285000
HMC454,9562925,EAST_MIDLANDS,518000,343000
HMC469,7854592,EAST_MIDLANDS,481000,354000
HMC539,8693004,EAST_MIDLANDS,455000,299000
HMC575,9258899,EAST_MIDLANDS,536000,360000
HMC576,10309806,EAST_MIDLANDS,475000,257000
HMC600,6134318,EAST_MIDLANDS,496000,349000
HMC611,10915351,EAST_MIDLANDS,444000,380000
HMC622,9337982,EAST_MIDLANDS,469000,383000
HMC628,11017951,EAST_MIDLANDS,398000,386000
HMC647,9403237,EAST_MIDLANDS,475000,376000
HMC674,11017621,EAST_MIDLANDS,459000,343000
HMC675,11026979,EAST_MIDLANDS,449000,346000
HMC680,9337973,EAST_MIDLANDS,470000,375000
HMC681,9060305,EAST_MIDLANDS,447000,343000
HMC720,7396275,EAST_MIDLANDS,528000,322000
HMC739,9510565,EAST_MIDLANDS,523000,356000
HMC751,9445172,EAST_MIDLANDS,521000,356000
HMC764,8023569,EAST_MIDLANDS,479000,251000
HMC784,9064528,EAST_MIDLANDS,479000,266000
HMC790,11456451,EAST_MIDLANDS,492000,277000
HMC839,7176691,EAST_MIDLANDS,402000,393000
HMC850,8878424,EAST_MIDLANDS,457000,342000
HMC898,7863439,EAST_MIDLANDS,459000,381000
HMC947,9399525,EAST_MIDLANDS,433000,341000
HMC965,9403111,EAST_MIDLANDS,462000,337000
HMC1003,11840557,EAST_MIDLANDS,502000,349000
HMC1009,7472062,EAST_MIDLANDS,450000,360000
HMC1013,8884721,EAST_MIDLANDS,470000,343000
HMC1015,11868588,EAST_MIDLANDS,517000,325000
HMC1021,6719113,EAST_MIDLANDS,462000,305000
HMC1088,11894895,EAST_MIDLANDS,432000,317000
HMC1089,9051004,EAST_MIDLANDS,474000,371000
HMC1098,11448535,EAST_MIDLANDS,488000,282000
HMC7,7417673,EAST_OF_ENGLAND,563000,209000
HMC11,7037641,EAST_OF_ENGLAND,497000,208000
HMC12,7757400,EAST_OF_ENGLAND,501000,209000
HMC17,7471537,EAST_OF_ENGLAND,541000,201000
HMC19,7263714,EAST_OF_ENGLAND,633000,312000
HMC28,7177022,EAST_OF_ENGLAND,618000,278000
HMC31,7396325,EAST_OF_ENGLAND,598000,297000
HMC39,7757118,EAST_OF_ENGLAND,537000,276000
HMC43,7396236,EAST_OF_ENGLAND,527000,217000
HMC46,7177157,EAST_OF_ENGLAND,545000,234000
HMC51,7411791,EAST_OF_ENGLAND,595000,294000
HMC57,7567570,EAST_OF_ENGLAND,596000,275000
HMC60,7396420,EAST_OF_ENGLAND,530000,213000
HMC63,7472280,EAST_OF_ENGLAND,531000,213000
HMC65,7412342,EAST_OF_ENGLAND,619000,287000
HMC76,7176788,EAST_OF_ENGLAND,557000,235000
HMC91,7757340,EAST_OF_ENGLAND,524000,235000
HMC92,7411835,EAST_OF_ENGLAND,650000,302000
HMC93,7760032,EAST_OF_ENGLAND,615000,246000
HMC97,7398903,EAST_OF_ENGLAND,627000,255000
HMC100,7396112,EAST_OF_ENGLAND,523000,223000
HMC102,7537706,EAST_OF_ENGLAND,524000,251000
HMC119,7401943,EAST_OF_ENGLAND,597000,260000
HMC132,7412292,EAST_OF_ENGLAND,641000,292000
HMC138,7681290,EAST_OF_ENGLAND,623000,243000
HMC139,7757310,EAST_OF_ENGLAND,629000,237000
HMC178,8251532,EAST_OF_ENGLAND,524000,219000
